Parcela;Placa;Especie;Familia;DAP_cm
P14;62;Aniba perutilis;Lauraceae;23,84
P14;63;Ocotea guianensis;Lauraceae;12,53
P14;64;Maprounea guianensis;Euphorbiaceae;36,73
P14;66;Jacaranda copaia;Bignoniaceae;22,55
P14;67;Warszewiczia coccinea;Rubiaceae;10,91
P14;68;Caryocar glabrum;Caryocaraceae;17,16
P14;69;Alchornea megalophylla;Euphorbiaceae;11,62
P14;70;Hieronyma sp3;Phyllanthaceae;32,73
P14;71;Hieronyma sp3;Phyllanthaceae;28,15
P14;72;Nectandra sp2;Lauraceae;46,93
P14;73;Caryocar glabrum;Caryocaraceae;15,84
P14;74;Aniba perutilis;Lauraceae;21,01
P14;75;Miconia minutiflora;Melastomataceae;16,11
P14;76;Ocotea macrophylla;Lauraceae;10,27
P14;77;Ocotea macrophylla;Lauraceae;10,63
P14;78;Schizocalyx bracteosa;Rubiaceae;20,44
P14;79;Schizocalyx bracteosa;Rubiaceae;19,51
P14;80;Maquira guianensis;Moraceae;21,38
P14;81;Psychotria monsalveae;Rubiaceae;18,72
P14;82;Pourouma bicolor;Urticaceae;29,85
P14;83;Aniba perutilis;Lauraceae;13,11
P14;84;Hieronyma sp3;Phyllanthaceae;9,7
P14;85;Psychotria monsalveae;Rubiaceae;13,69
P14;86;Pera arborea;Euphorbiaceae;13,47
P14;87;Hieronyma sp3;Phyllanthaceae;13,85
P14;88;Pouteria torta;Sapotaceae;28,55
P14;89;Tetragastris panamensis;Burseraceae;43,93
P14;90;Licania sp2;Chrysobalanaceae;13,39
P14;91;Psychotria monsalveae;Rubiaceae;14,27
P14;92;Coussarea grandifolia;Rubiaceae;20,48
P14;93;Maquira guianensis;Moraceae;11,64
P14;95;Aniba perutilis;Lauraceae;11,81
P14;96;Vismia macrophylla;Hypericaceae;17,57
P14;97;Miconia elata;Melastomataceae;18,84
P14;98;Chrysochlamys weberbaueri;Clusiaceae;12,57
P14;99;Aptandra tubicina;Olacaceae;12,95
P14;100;Miconia elata;Melastomataceae;12,8
P14;101;Jacaranda copaia;Bignoniaceae;26,69
P14;102;Conceveiba parvifolia;Euphorbiaceae;59,82
P14;103;Mayna grandifolia;Achariaceae;15,91
P14;104;Caryocar glabrum;Caryocaraceae;33,04
P14;105;Eschweilera coriacea;Lecythidaceae;36,31
P14;106;Byrsonima arthropoda;Malpighiaceae;16,79
P14;107;Miconia elata;Melastomataceae;27,99
P14;108;Hieronyma sp3;Phyllanthaceae;12,31
P14;109;Coussarea grandifolia;Rubiaceae;20,72
P14;110;Pera arborea;Euphorbiaceae;22,08
P14;111;Jacaranda copaia;Bignoniaceae;35,15
P14;112;Maquira guianensis;Moraceae;11,28
P14;113;Otoba novogranatensis;Myristicaceae;10,55
P14;114;Maquira guianensis;Moraceae;14,48
P14;115;Coussarea grandifolia;Rubiaceae;12,3
P14;116;Maquira guianensis;Moraceae;19,42
P14;117;Maprounea guianensis;Euphorbiaceae;18,88
P14;118;;;22,25
P14;119;Hieronyma sp3;Phyllanthaceae;25,15
P14;120;Ladenbergia oblongifolia;Rubiaceae;30,44
P14;121;Caryocar glabrum;Caryocaraceae;10,83
P14;122;Nectandra sp3;Lauraceae;11,81
P14;123;Tetragastris panamensis;Burseraceae;23,97
P14;124;Aniba perutilis;Lauraceae;11,14
P14;125;Aniba perutilis;Lauraceae;21,01
P14;126;Licania parviflora;Chrysobalanaceae;28,04
P14;127;Coussarea grandifolia;Rubiaceae;13,99
P14;128;Hieronyma sp3;Phyllanthaceae;24,4
P14;129;Inga pezizifera;Fabaceae;45,16
P14;130;Jacaranda copaia;Bignoniaceae;42,59
P14;131;Aniba perutilis;Lauraceae;11,25
P14;132;Aniba perutilis;Lauraceae;12,17
P14;133;Macrolobium gracile;Fabaceae;14,18
P14;134;Hieronyma sp3;Phyllanthaceae;12,65
P14;135;Tovomita weddelliana;Clusiaceae;11,37
P14;136;Miconia elata;Melastomataceae;17,51
P14;137;Ladenbergia oblongifolia;Rubiaceae;10,35
P14;138;Quiina pteridophylla;Ochnaceae;13,15
P14;139;Virola flexuosa;Myristicaceae;29,28
P14;140;Hieronyma sp3;Phyllanthaceae;14,61
P14;141;Miconia elata;Melastomataceae;13,4
P14;142;Eschweilera coriacea;Lecythidaceae;39,67
P14;143;Caryocar glabrum;Caryocaraceae;22,09
P14;144;Miconia elata;Melastomataceae;14,37
P14;145;Hieronyma sp3;Phyllanthaceae;24,03
P14;146;Hieronyma sp3;Phyllanthaceae;10,57
P14;147;Xylopia frutescens;Annonaceae;18,25
P14;148;Ladenbergia oblongifolia;Rubiaceae;18,63
P14;149;Ocotea guianensis;Lauraceae;19,07
P14;150;Aniba perutilis;Lauraceae;36,38
P14;151;Aniba perutilis;Lauraceae;31,51
P14;152;Caryocar glabrum;Caryocaraceae;13,43
P14;153;Ocotea guianensis;Lauraceae;10,07
P14;154;Caryocar glabrum;Caryocaraceae;22,09
P14;155;Ladenbergia oblongifolia;Rubiaceae;14,9
P14;156;Erythroxylum citrifolium;Erythroxylaceae;20,23
P14;157;Hieronyma sp3;Phyllanthaceae;29,38
P14;158;Ladenbergia oblongifolia;Rubiaceae;12,14
P14;159;Erythroxylum citrifolium;Erythroxylaceae;11,92
P14;160;Inga sp2;Fabaceae;14,11
P14;161;Myrcia splendens;Myrtaceae;15,74
P14;162;;;12,17
P14;163;Tetragastris panamensis;Burseraceae;48,05
P15;1;Miconia poeppigii;Melastomataceae;14,17
P15;2;Elaeagia pastoensis;Rubiaceae;11,97
P15;3;Ilex pustulosa;Aquifoliaceae;20,92
P15;4;Ilex laurina;Aquifoliaceae;10,09
P15;5;Ilex laurina;Aquifoliaceae;14,06
P15;6;Trichilia sp.;Meliaceae;13,4
P15;7;Ocotea sp8;Lauraceae;13,26
P15;8;Guatteria lehmannii;Annonaceae;18,94
P15;9;Freziera sp1;Pentaphylacaceae;11,46
P15;10;Ruagea pubescens;Meliaceae;10,5
P15;11;Guatteria lehmannii;Annonaceae;16,54
P15;12;Guatteria lehmannii;Annonaceae;11,3
P15;13;;;10,68
P15;14;Clethra fagifolia;Clethraceae;17,24
P15;15;Billia rosea;Sapindaceae;31,81
P15;16;Billia rosea;Sapindaceae;25,01
P15;17;Inga sierrae;Fabaceae;10,7
P15;18;Myrsine coriacea;Primulaceae;15,61
P15;19;Miconia poeppigii;Melastomataceae;21,27
P15;20;Hedyosmum cuatrecazanum;Chloranthaceae;10,35
P15;21;Ocotea sp8;Lauraceae;15,15
P15;22;Beilschmiedia tovarensis;Lauraceae;11,71
P15;23;Guatteria lehmannii;Annonaceae;23,19
P15;24;Miconia poeppigii;Melastomataceae;16,76
P15;25;Miconia poeppigii;Melastomataceae;14,9
P15;26;Myrcia popayanensis;Myrtaceae;10,92
P15;27;Hieronyma duquei;Phyllanthaceae;12,35
P15;28;Ocotea sp8;Lauraceae;14,55
P15;29;Ocotea sp8;Lauraceae;11,3
P15;30;Miconia poeppigii;Melastomataceae;16,22
P15;31;Alchornea coelophylla;Euphorbiaceae;16,13
P15;32;Guatteria lehmannii;Annonaceae;32,33
P15;33;Alchornea coelophylla;Euphorbiaceae;11,46
P15;34;Guatteria lehmannii;Annonaceae;15,63
P15;35;Guatteria lehmannii;Annonaceae;12,24
P15;36;Richeria grandis;Phyllanthaceae;14,26
P15;37;Elaeagia karstenii;Rubiaceae;10,14
P15;38;Hieronyma duquei;Phyllanthaceae;13,47
P15;39;Hieronyma duquei;Phyllanthaceae;15,66
P15;40;Ruagea pubescens;Meliaceae;11,67
P15;41;Hedyosmum cuatrecazanum;Chloranthaceae;17,19
P15;42;Elaeagia karstenii;Rubiaceae;10,98
P15;43;Hieronyma duquei;Phyllanthaceae;14,31
P15;44;Hieronyma duquei;Phyllanthaceae;11,84
P15;45;Inga sierrae;Fabaceae;13,24
P15;46;Hedyosmum cuatrecazanum;Chloranthaceae;19,82
P15;47;Miconia floribunda;Melastomataceae;10,2
P15;48;Miconia theizans;Melastomataceae;14,33
P15;49;Guatteria lehmannii;Annonaceae;22,35
P15;50;Guatteria lehmannii;Annonaceae;18,05
P15;51;Calophyllum brasiliense;Calophyllaceae;12,43
P15;52;Piper longispicum;Piperaceae;9,17
P15;53;Billia rosea;Sapindaceae;25,93
P15;54;Billia rosea;Sapindaceae;15,9
P15;55;Guatteria lehmannii;Annonaceae;20,85
P15;56;Miconia aponeura;Melastomataceae;12,34
P15;57;Richeria grandis;Phyllanthaceae;10,53
P15;58;Alchornea grandiflora;Euphorbiaceae;19,67
P15;59;Vismia laevis;Hypericaceae;11,5
P15;60;Aegiphila integrifolia;Lamiaceae;18,5
P15;61;Piper sp2;Piperaceae;11,41
P15;62;Miconia poeppigii;Melastomataceae;20,53
P15;63;Abarema callejasii;Fabaceae;12,87
P15;64;Guatteria lehmannii;Annonaceae;11,24
P15;65;Inga sierrae;Fabaceae;19,21
P15;66;Guatteria lehmannii;Annonaceae;10,03
P15;67;Hedyosmum cuatrecazanum;Chloranthaceae;22,44
P15;68;Billia rosea;Sapindaceae;12,49
P15;69;Croton magdalenensis;Euphorbiaceae;16,09
P15;70;Hieronyma duquei;Phyllanthaceae;42,21
P15;71;Vismia laevis;Hypericaceae;20,12
P15;72;Guatteria lehmannii;Annonaceae;17,76
P15;73;Hedyosmum cuatrecazanum;Chloranthaceae;15,27
P15;74;Elaeagia karstenii;Rubiaceae;13,34
P15;75;Ocotea sp8;Lauraceae;11,76
P15;76;Richeria grandis;Phyllanthaceae;15,88
P15;77;Myrsine coriacea;Primulaceae;11,88
P15;78;Miconia poeppigii;Melastomataceae;19,15
P15;79;Myrsine coriacea;Primulaceae;11,01
P15;80;Nectandra sp5;Lauraceae;16
P15;81;Vismia laevis;Hypericaceae;15,48
P15;82;Hedyosmum cuatrecazanum;Chloranthaceae;11,06
P15;83;Clethra fagifolia;Clethraceae;19,24
P15;84;Hieronyma duquei;Phyllanthaceae;34,28
P15;85;Miconia poeppigii;Melastomataceae;12,05
P15;86;Richeria grandis;Phyllanthaceae;18,29
P15;87;Miconia poeppigii;Melastomataceae;19,03
P15;88;Miconia poeppigii;Melastomataceae;13,47
P15;89;Clusia dixonii;Clusiaceae;9,89
P15;90;Ilex laurina;Aquifoliaceae;10,7
P15;91;Alchornea coelophylla;Euphorbiaceae;15,66
P15;92;Elaeagia pastoensis;Rubiaceae;12,71
P15;93;Miconia poeppigii;Melastomataceae;21,49
P15;94;Vismia laevis;Hypericaceae;17,64
P15;95;Vismia laevis;Hypericaceae;14,45
P15;96;Ilex nervosa;Aquifoliaceae;10,12
P15;97;Aegiphila integrifolia;Lamiaceae;11,55
P15;98;Vismia laevis;Hypericaceae;15,53
P15;99;Hedyosmum cuatrecazanum;Chloranthaceae;19,39
P15;100;Miconia theizans;Melastomataceae;11,24
P15;101;Hedyosmum cuatrecazanum;Chloranthaceae;18,87
P15;102;Vismia laevis;Hypericaceae;19,81
P15;103;Miconia aponeura;Melastomataceae;17,28
P15;104;Vismia laevis;Hypericaceae;15,37
P15;105;Vismia laevis;Hypericaceae;22,82
P15;106;Eugenia sp3;Myrtaceae;13,78
P15;107;Clethra fagifolia;Clethraceae;21,49
P15;108;Alchornea coelophylla;Euphorbiaceae;20,25
P15;109;Alchornea coelophylla;Euphorbiaceae;11,3
P15;110;Miconia poeppigii;Melastomataceae;13,74
P15;111;Miconia poeppigii;Melastomataceae;21,16
P15;112;Ocotea sp8;Lauraceae;15,2
P15;113;Vismia laevis;Hypericaceae;18,85
P15;114;;;17,11
P15;115;Vismia laevis;Hypericaceae;16,2
P15;116;Vismia laevis;Hypericaceae;12,46
P15;117;Elaeagia pastoensis;Rubiaceae;16,73
P15;118;Wettinia fascicularis;Arecaceae;10,24
P15;119;Ocotea sp8;Lauraceae;24,73
P15;120;Elaeagia pastoensis;Rubiaceae;29,6
P15;121;Guatteria lehmannii;Annonaceae;20,53
P15;122;Miconia poeppigii;Melastomataceae;15,06
P15;123;Elaeagia pastoensis;Rubiaceae;16,24
P15;124;Vismia laevis;Hypericaceae;16,14
P15;125;Wettinia fascicularis;Arecaceae;13,18
P15;126;Elaeagia pastoensis;Rubiaceae;15,45
P15;127;Miconia poeppigii;Melastomataceae;12,86
P15;128;Elaeagia pastoensis;Rubiaceae;27,5
P15;129;Clethra fagifolia;Clethraceae;18,75
P15;130;Hedyosmum cuatrecazanum;Chloranthaceae;13,16
P15;131;Vismia laevis;Hypericaceae;13,69
P15;132;Miconia poeppigii;Melastomataceae;16,02
P15;133;Vismia laevis;Hypericaceae;16,49
P15;134;Panopsis sp2;Proteaceae;31,7
P15;135;Persea sp7;Lauraceae;10,77
P15;136;Ocotea sp8;Lauraceae;15,31
P15;137;Vismia laevis;Hypericaceae;21,55
P15;138;Miconia poeppigii;Melastomataceae;15,25
P15;139;Vismia laevis;Hypericaceae;18,74
P15;140;Hedyosmum cuatrecazanum;Chloranthaceae;15,8
P15;141;Hedyosmum cuatrecazanum;Chloranthaceae;16,52
P15;142;Myrsine coriacea;Primulaceae;14,78
P15;143;Ocotea balanocarpa;Lauraceae;24
P15;144;;;16,01
P15;145;Ilex sp2;Aquifoliaceae;9,43
P15;146;Eugenia dittocrepis;Myrtaceae;15,47
P15;147;Billia rosea;Sapindaceae;13,64
P15;148;Billia rosea;Sapindaceae;21,08
P15;149;;;16,08
P15;150;Miconia poeppigii;Melastomataceae;15,98
P15;151;Billia rosea;Sapindaceae;10,43
P15;152;Wettinia fascicularis;Arecaceae;11,2
P15;153;Clethra fagifolia;Clethraceae;18,64
P15;154;Guarea glabra;Meliaceae;12,6
P15;155;Elaeagia karstenii;Rubiaceae;17,59
P15;156;Magnolia yarumalensis;Magnoliaceae;11,14
P15;157;Guatteria lehmannii;Annonaceae;11,35
P15;158;Ocotea balanocarpa;Lauraceae;16,17
P15;159;Eugenia sp2;Myrtaceae;17,29
P15;160;Billia rosea;Sapindaceae;16,1
P15;161;Guatteria lehmannii;Annonaceae;10,9
P15;162;Guatteria lehmannii;Annonaceae;16,14
