Parcela;Placa;Especie;Familia;DAP_cm
P1;2;Aspidosperma desmanthum;Apocynaceae;14
P1;3;Tapirira guianensis;Anacardiaceae;22,84
P1;4;;;24,59
P1;5;Cecropia peltata;Urticaceae;12,76
P1;6;Castilla tunu;Moraceae;11,39
P1;7;Otoba novogranatensis;Myristicaceae;31,7
P1;8;Pouteria sp16;Sapotaceae;10,64
P1;9;Guatteria sp3;Annonaceae;12,56
P1;10;Cassipourea guianensis;Rhizophoraceae;29,76
P1;11;Virola macrocarpa;Myristicaceae;15,33
P1;12;;;14,35
P1;13;Cassipourea guianensis;Rhizophoraceae;20,06
P1;14;Oxandra sp1;Annonaceae;13,53
P1;16;Virola macrocarpa;Myristicaceae;13,59
P1;17;Aspidosperma desmanthum;Apocynaceae;11,46
P1;18;Cecropia peltata;Urticaceae;12,66
P1;19;Eschweilera sp2;Lecythidaceae;16,81
P1;20;Myrcia florida;Myrtaceae;11,27
P1;21;Aspidosperma desmanthum;Apocynaceae;18,71
P1;22;Amaioua corymbosa;Rubiaceae;15,36
P1;23;Pouteria sp16;Sapotaceae;17,32
P1;24;Eschweilera sp2;Lecythidaceae;62,87
P1;25;Chrysochlamys sp1;Clusiaceae;16,74
P1;26;Manilkara chicle;Sapotaceae;16,83
P1;27;Pouteria lucuma;Sapotaceae;12,92
P1;28;Eschweilera sp2;Lecythidaceae;52,27
P1;29;Maytenus sp1;Celastraceae;11,3
P1;30;Pouteria sp16;Sapotaceae;11,9
P1;31;Otoba novogranatensis;Myristicaceae;15,96
P1;32;Compsoneura mutisii;Myristicaceae;12,05
P1;33;Rhodostemonodaphne kunthiana;Lauraceae;22,76
P1;34;Guatteria sp3;Annonaceae;12,55
P1;35;Pouteria sp15;Sapotaceae;19,71
P1;36;Garcinia magnifolia;Clusiaceae;28,26
P1;37;Guatteria sp3;Annonaceae;34,31
P1;38;Guatteria sp3;Annonaceae;38,85
P1;39;Socratea exorrhiza;Arecaceae;13,81
P1;40;Oxandra sp1;Annonaceae;12,2
P1;41;Ravenia sp1;Rutaceae;11,88
P1;42;Siparuna gentryana;Siparunaceae;15,85
P1;43;Socratea exorrhiza;Arecaceae;14,36
P1;44;Aspidosperma desmanthum;Apocynaceae;12,82
P1;45;Manilkara chicle;Sapotaceae;23,92
P1;46;Manilkara chicle;Sapotaceae;32,78
P1;47;Pouteria sp16;Sapotaceae;20,42
P1;48;Socratea exorrhiza;Arecaceae;11,2
P1;49;Otoba novogranatensis;Myristicaceae;26,04
P1;50;Virola macrocarpa;Myristicaceae;25,74
P1;51;Nectandra sp11;Lauraceae;14,6
P1;52;Lonchocarpus macrophyllus;Fabaceae;12,39
P1;53;Otoba novogranatensis;Myristicaceae;22,3
P1;54;Socratea exorrhiza;Arecaceae;11,71
P1;55;Oxandra sp1;Annonaceae;29,27
P1;56;Pouteria sp16;Sapotaceae;41,99
P1;57;Pouteria sp16;Sapotaceae;16,23
P1;58;Pouteria sp16;Sapotaceae;34,89
P1;59;Pouteria sp16;Sapotaceae;23,56
P1;60;Cassipourea guianensis;Rhizophoraceae;14,99
P1;61;Manilkara chicle;Sapotaceae;42,97
P1;62;Otoba novogranatensis;Myristicaceae;24,57
P1;63;Pouteria lucuma;Sapotaceae;21,33
P1;64;Virola macrocarpa;Myristicaceae;17,22
P1;65;Eschweilera sp2;Lecythidaceae;63,34
P1;66;Sterculia sp1;Malvaceae;10,3
P1;67;Virola macrocarpa;Myristicaceae;17,53
P1;69;Heisteria acuminata;Olacaceae;12,1
P1;70;Pouteria sp16;Sapotaceae;13,17
P1;71;Pouteria sp16;Sapotaceae;36,26
P1;72;Manilkara chicle;Sapotaceae;10,37
P1;73;Pouteria lucuma;Sapotaceae;10,65
P1;74;Pachira sp1;Malvaceae;14,84
P1;75;Miconia affinis;Melastomataceae;15,42
P1;76;Chrysophyllum colombianum;Sapotaceae;15,53
P1;77;Pouteria sp13;Sapotaceae;11,87
P1;78;Aspidosperma desmanthum;Apocynaceae;28,06
P1;79;Socratea exorrhiza;Arecaceae;13,58
P1;80;Rhodostemonodaphne kunthiana;Lauraceae;24,25
P1;81;;;19,72
P1;82;Guatteria sp3;Annonaceae;19,61
P1;83;Virola macrocarpa;Myristicaceae;13,64
P1;84;Virola macrocarpa;Myristicaceae;13,21
P1;85;Virola macrocarpa;Myristicaceae;13,53
P1;86;Virola macrocarpa;Myristicaceae;13,75
P1;87;Virola dixonii;Myristicaceae;16,65
P1;88;Brownea rosa-de-monte;Fabaceae;10,15
P1;89;Dialium guianense;Fabaceae;17,73
P1;90;Chrysochlamys sp1;Clusiaceae;12,61
P1;91;Virola macrocarpa;Myristicaceae;11,01
P1;92;Virola macrocarpa;Myristicaceae;9,58
P1;93;Virola macrocarpa;Myristicaceae;13,54
P1;94;Virola macrocarpa;Myristicaceae;21,39
P1;95;Ocotea sp22;Lauraceae;10
P1;96;Licania hypoleuca;Chrysobalanaceae;14,24
P1;97;Virola macrocarpa;Myristicaceae;27,57
P1;98;;;18,94
P1;99;Oxandra sp1;Annonaceae;13,65
P1;100;Manilkara chicle;Sapotaceae;24,09
P1;101;Manilkara chicle;Sapotaceae;30,69
P1;103;Chrysophyllum colombianum;Sapotaceae;10,47
P1;104;Cecropia peltata;Urticaceae;12,5
P1;105;Stenostomum acreanum;Rubiaceae;31,96
P1;106;Tapirira guianensis;Anacardiaceae;10,64
P1;107;Vismia macrophylla;Hypericaceae;11,51
P1;108;Chrysochlamys eclipes;Clusiaceae;29,38
P1;109;Ocotea sp22;Lauraceae;10,09
P1;110;Apeiba glabra;Malvaceae;11,8
P1;111;Socratea exorrhiza;Arecaceae;13,43
P1;112;Vismia macrophylla;Hypericaceae;11,08
P1;113;Pouteria sp13;Sapotaceae;19,99
P1;114;Virola macrocarpa;Myristicaceae;11,52
P1;115;Virola macrocarpa;Myristicaceae;13,51
P1;116;Virola macrocarpa;Myristicaceae;14,1
P1;117;Eschweilera sp2;Lecythidaceae;17,6
P1;118;Rhodostemonodaphne kunthiana;Lauraceae;13,72
P1;119;Rhodostemonodaphne kunthiana;Lauraceae;14,58
P1;120;Chrysochlamys sp1;Clusiaceae;22,22
P1;121;Eschweilera sp2;Lecythidaceae;46,09
P1;122;Eschweilera calyculata;Lecythidaceae;18,21
P1;123;Stenostomum acreanum;Rubiaceae;21,63
P1;124;Vismia macrophylla;Hypericaceae;10,46
P1;125;Tapirira guianensis;Anacardiaceae;14,72
P1;126;Otoba novogranatensis;Myristicaceae;25,78
P1;127;Pouteria sp16;Sapotaceae;13,17
P1;128;Swartzia haughtii;Fabaceae;15,77
P2;1;Clethra fagifolia;Clethraceae;11,65
P2;2;Clethra fagifolia;Clethraceae;14,29
P2;3;Guatteria lehmannii;Annonaceae;13,67
P2;4;Ruagea pubescens;Meliaceae;11,68
P2;5;Clusia alata;Clusiaceae;14,45
P2;6;Guatteria lehmannii;Annonaceae;19,38
P2;7;Sloanea brevispina;Elaeocarpaceae;17,19
P2;8;Guatteria lehmannii;Annonaceae;12,19
P2;9;Vismia laevis;Hypericaceae;25,85
P2;10;Inga multijuga;Fabaceae;11,3
P2;11;Inga multijuga;Fabaceae;13,8
P2;12;Guatteria lehmannii;Annonaceae;19,32
P2;13;Vismia laevis;Hypericaceae;18,59
P2;14;Vismia laevis;Hypericaceae;10,64
P2;15;Guatteria lehmannii;Annonaceae;12,32
P2;16;Guatteria lehmannii;Annonaceae;17,98
P2;17;Billia rosea;Sapindaceae;24,77
P2;18;Billia rosea;Sapindaceae;22,66
P2;19;Billia rosea;Sapindaceae;19,61
P2;20;Guatteria lehmannii;Annonaceae;14,05
P2;21;Billia rosea;Sapindaceae;18,67
P2;22;Guatteria lehmannii;Annonaceae;20,85
P2;23;Guatteria lehmannii;Annonaceae;12,83
P2;24;Guatteria lehmannii;Annonaceae;13,34
P2;25;Vismia laevis;Hypericaceae;17,65
P2;26;Ruagea pubescens;Meliaceae;20,79
P2;27;Billia rosea;Sapindaceae;21,49
P2;28;Billia rosea;Sapindaceae;12,01
P2;29;Billia rosea;Sapindaceae;17,18
P2;30;Billia rosea;Sapindaceae;26,26
P2;31;Myrcia popayanensis;Myrtaceae;15,02
P2;32;Clusia trochiformis;Clusiaceae;25
P2;33;Wettinia fascicularis;Arecaceae;13,44
P2;34;Myrsine coriacea;Primulaceae;14,64
P2;35;Elaeagia pastoensis;Rubiaceae;18,59
P2;36;Brunellia goudotii;Brunelliaceae;16,3
P2;37;Alchornea coelophylla;Euphorbiaceae;18,62
P2;38;Hieronyma duquei;Phyllanthaceae;14,42
P2;39;Alchornea coelophylla;Euphorbiaceae;15,94
P2;40;Alchornea coelophylla;Euphorbiaceae;15,82
P2;41;Persea sp1;Lauraceae;13,35
P2;42;Myrcia popayanensis;Myrtaceae;24,7
P2;43;Hieronyma duquei;Phyllanthaceae;11,64
P2;44;Alchornea coelophylla;Euphorbiaceae;31,02
P2;45;Guatteria lehmannii;Annonaceae;17,18
P2;46;Hieronyma duquei;Phyllanthaceae;23,33
P2;47;Wettinia fascicularis;Arecaceae;10,28
P2;48;Clethra fagifolia;Clethraceae;24,09
P2;49;Guatteria lehmannii;Annonaceae;11,32
P2;50;Alchornea grandiflora;Euphorbiaceae;11,06
P2;51;Billia rosea;Sapindaceae;19,93
P2;52;Alchornea coelophylla;Euphorbiaceae;17,5
P2;53;Alchornea coelophylla;Euphorbiaceae;26,55
P2;54;Ilex laurina;Aquifoliaceae;11,59
P2;55;Hieronyma duquei;Phyllanthaceae;23,03
P2;56;Elaeagia pastoensis;Rubiaceae;11,84
P2;57;Elaeagia pastoensis;Rubiaceae;22,51
P2;58;Elaeagia pastoensis;Rubiaceae;17,19
P2;59;Symplocos sp1;Symplocaceae;21,47
P2;60;Ladenbergia macrocarpa;Rubiaceae;12,89
P2;61;Ocotea sp9;Lauraceae;9,91
P2;62;Meriania sp1;Melastomataceae;14,56
P2;63;Symplocos sp1;Symplocaceae;18,93
P2;64;Hieronyma duquei;Phyllanthaceae;11,68
P2;65;Wettinia fascicularis;Arecaceae;10,52
P2;66;Myrcia popayanensis;Myrtaceae;20,64
P2;67;Wettinia fascicularis;Arecaceae;11,78
P2;68;Miconia theizans;Melastomataceae;19,11
P2;69;Brunellia goudotii;Brunelliaceae;11,54
P2;70;Brunellia goudotii;Brunelliaceae;28,9
P2;71;Dendropanax sp1;Araliaceae;10,93
P2;72;Persea cuneata;Lauraceae;11,94
P2;73;Hieronyma duquei;Phyllanthaceae;20,75
P2;74;;;11,56
P2;75;Guatteria lehmannii;Annonaceae;11,36
P2;76;Guatteria lehmannii;Annonaceae;16,88
P2;77;Blakea sp1;Melastomataceae;24,51
P2;78;;;26,55
P2;79;Hieronyma duquei;Phyllanthaceae;10,94
P2;80;Godoya antioquiensis;Ochnaceae;29,86
P2;81;Hieronyma duquei;Phyllanthaceae;30,28
P2;82;Hieronyma duquei;Phyllanthaceae;22,57
P2;83;Guatteria lehmannii;Annonaceae;12,65
P2;84;Alchornea coelophylla;Euphorbiaceae;16,95
P2;85;Alchornea coelophylla;Euphorbiaceae;12,9
P2;86;Alchornea coelophylla;Euphorbiaceae;58,65
P2;87;Alchornea coelophylla;Euphorbiaceae;16,23
P2;88;Persea sp1;Lauraceae;15,09
P2;89;Ladenbergia macrocarpa;Rubiaceae;17
P2;90;Ladenbergia macrocarpa;Rubiaceae;12,14
P2;91;Persea cuneata;Lauraceae;11,56
P2;92;Persea cuneata;Lauraceae;26,07
P2;93;Persea cuneata;Lauraceae;13,74
P2;94;Symplocos sp1;Symplocaceae;9,73
P2;95;Clethra fagifolia;Clethraceae;10,17
P2;96;Wettinia fascicularis;Arecaceae;12,88
P2;97;Symplocos sp1;Symplocaceae;11,5
P2;98;Hieronyma duquei;Phyllanthaceae;11,84
P2;99;Hieronyma duquei;Phyllanthaceae;14,04
P2;100;Hieronyma duquei;Phyllanthaceae;18,59
P2;101;Godoya antioquiensis;Ochnaceae;14,1
P2;102;Persea cuneata;Lauraceae;11,37
P2;103;Alchornea coelophylla;Euphorbiaceae;11,21
P2;104;Eugenia sp2;Myrtaceae;13,24
P2;105;Wettinia fascicularis;Arecaceae;10,25
P2;106;Alchornea coelophylla;Euphorbiaceae;21,46
P2;107;Alchornea coelophylla;Euphorbiaceae;19,32
P2;108;Alchornea coelophylla;Euphorbiaceae;12,31
P2;109;Alchornea coelophylla;Euphorbiaceae;21,48
P2;110;Gordonia fruticosa;Theaceae;13,4
P2;111;Symplocos sp1;Symplocaceae;11,83
P2;112;Hieronyma duquei;Phyllanthaceae;15,98
P2;113;Hieronyma duquei;Phyllanthaceae;11,71
P2;114;Hieronyma duquei;Phyllanthaceae;15,1
P2;115;Guatteria lehmannii;Annonaceae;12,33
P2;116;Ladenbergia macrocarpa;Rubiaceae;13,57
P2;117;Myrcia popayanensis;Myrtaceae;24,51
P2;118;Alchornea coelophylla;Euphorbiaceae;16,42
P2;119;Ladenbergia macrocarpa;Rubiaceae;12,54
P2;120;Billia rosea;Sapindaceae;13,94
P2;121;Billia rosea;Sapindaceae;14,32
P2;122;Podocarpus oleifolius;Podocarpaceae;18,76
P2;123;Miconia aponeura;Melastomataceae;10,85
P2;124;Miconia poeppigii;Melastomataceae;13,88
P2;125;Symplocos sp1;Symplocaceae;25,22
P2;126;Hieronyma duquei;Phyllanthaceae;13,51
P2;127;Eugenia sp2;Myrtaceae;18,93
P2;128;Miconia poeppigii;Melastomataceae;14,11
P2;129;Clethra fagifolia;Clethraceae;10,78
P2;130;Wettinia fascicularis;Arecaceae;11,26
P2;131;Myrcia popayanensis;Myrtaceae;10,24
P2;132;Myrcia popayanensis;Myrtaceae;10,03
P2;133;Gordonia fruticosa;Theaceae;21,96
P2;134;Hieronyma duquei;Phyllanthaceae;18,55
P2;135;Symplocos sp1;Symplocaceae;17,11
P2;136;Gordonia fruticosa;Theaceae;24,01
P2;137;Miconia poeppigii;Melastomataceae;15,22
P2;138;Clusia alata;Clusiaceae;11,52
P2;139;Myrcia popayanensis;Myrtaceae;9,61
P2;140;Clusia alata;Clusiaceae;13,75
P2;141;Alchornea coelophylla;Euphorbiaceae;17,35
P2;142;Schefflera sp2;Araliaceae;16,18
P2;143;Clusia hydrogera;Clusiaceae;15,14
P2;144;Clethra fagifolia;Clethraceae;10,95
P2;145;Hieronyma duquei;Phyllanthaceae;11,1
P2;146;Brunellia goudotii;Brunelliaceae;25,23
P2;147;Guatteria lehmannii;Annonaceae;10,15
P2;148;Clusia hydrogera;Clusiaceae;11,72
P2;149;Myrcia popayanensis;Myrtaceae;12,22
P2;150;Clethra fagifolia;Clethraceae;12,2
P2;151;Ilex laurina;Aquifoliaceae;11,43
P2;152;Freziera sp1;Pentaphylacaceae;13,77
P2;153;Hieronyma duquei;Phyllanthaceae;12,51
P2;154;Hieronyma duquei;Phyllanthaceae;13,43
P2;155;Hieronyma duquei;Phyllanthaceae;19
P2;156;Hieronyma duquei;Phyllanthaceae;12,06
P2;157;Hieronyma duquei;Phyllanthaceae;19,27
P2;158;Clethra fagifolia;Clethraceae;16,32
P2;159;Podocarpus oleifolius;Podocarpaceae;10,79
P2;160;Alchornea coelophylla;Euphorbiaceae;24,31
P2;161;Gordonia fruticosa;Theaceae;27,38
P2;162;Clusia hydrogera;Clusiaceae;12,8
P2;163;Godoya antioquiensis;Ochnaceae;12,83
P2;164;Godoya antioquiensis;Ochnaceae;11,62
P2;165;Ladenbergia macrocarpa;Rubiaceae;15,34
P2;166;Myrsine coriacea;Primulaceae;15,97
P2;167;Miconia theizans;Melastomataceae;10,86
P2;168;Miconia theizans;Melastomataceae;10,95
P2;169;Miconia theizans;Melastomataceae;10,95
P2;170;Clusia multiflora;Clusiaceae;10,74
P2;171;Alchornea coelophylla;Euphorbiaceae;15,47
P2;172;Godoya antioquiensis;Ochnaceae;12,92
P3;1;Parmentiera stenocarpa;Bignoniaceae;11,2
P3;2;Astrocaryum standleyanum;Arecaceae;18,74
P3;3;Swartzia panamensis;Fabaceae;13,6
P3;4;Gustavia dubia;Lecythidaceae;47,81
P3;5;Sloanea ptariana;Elaeocarpaceae;11,9
P3;6;Gustavia dubia;Lecythidaceae;27,34
P3;7;Trichilia quadrijuga;Meliaceae;33,45
P3;8;Cecropia obtusifolia;Urticaceae;18,94
P3;9;Dendropanax arboreus;Araliaceae;36,13
P3;10;Socratea exorrhiza;Arecaceae;12,53
P3;11;Clarisia racemosa;Moraceae;55,52
P3;12;Chomelia;Rubiaceae;12,67
P3;13;Parmentiera stenocarpa;Bignoniaceae;10,29
P3;14;Eschweilera microcalyx;Lecythidaceae;19,9
P3;15;Quararibea cordata;Malvaceae;15,41
P3;16;Protium sp nov;Burseraceae;12,36
P3;17;Heisteria acuminata;Olacaceae;13,08
P3;18;Gustavia dubia;Lecythidaceae;53,63
P3;19;Inga acrocephala;Fabaceae;15,68
P3;20;Parmentiera stenocarpa;Bignoniaceae;9,66
P3;21;Pogonopus speciosus;Rubiaceae;12,75
P3;22;Anacardium excelsum;Anacardiaceae;187,26
P3;23;Randia sp1;Rubiaceae;19,8
P3;24;Clarisia racemosa;Moraceae;48,33
P3;25;Castilla tunu;Moraceae;10,03
P3;26;Myriocarpa stipitata;Urticaceae;9,35
P3;27;Castilla tunu;Moraceae;15,66
P3;28;Sarcaulus sp1;Sapotaceae;15,6
P3;29;Batocarpus costaricensis;Moraceae;28,38
P3;30;Swartzia panamensis;Fabaceae;16,72
P3;31;Inga acrocephala;Fabaceae;10,96
P3;32;Pouteria subrotata;Sapotaceae;26,71
P3;33;Pentaclethra macroloba;Fabaceae;19,07
P3;34;Perebea sp1;Moraceae;26,47
P3;35;Protium sp nov;Burseraceae;17,63
P3;36;Psychotria trichotoma;Rubiaceae;15,09
P3;37;Brosimum alicastrum;Moraceae;70,04
P3;38;Chrysophyllum argenteum;Sapotaceae;12,32
P3;39;Guarea macrophylla;Meliaceae;25,28
P3;40;Inga acrocephala;Fabaceae;14,21
P3;41;Randia sp1;Rubiaceae;11,46
P3;42;Lunania parviflora;Salicaceae;20,71
P3;43;Lunania parviflora;Salicaceae;12,36
P3;44;Picramnia latifolia;Picramniaceae;14,91
P3;45;Chrysophyllum argenteum;Sapotaceae;22,35
P3;46;Cecropia obtusifolia;Urticaceae;23,43
P3;47;Randia sp1;Rubiaceae;14,9
P3;48;Lunania parviflora;Salicaceae;21,1
P3;49;Lunania parviflora;Salicaceae;18,47
P3;50;Cupania americana;Sapindaceae;10,04
P3;51;Virola sp2;Myristicaceae;16,58
P3;52;Lacistema sp1;Lacistemataceae;12,41
P3;53;Piper reticulatum;Piperaceae;11,59
P3;54;Xylopia sp1;Annonaceae;27,58
P3;55;Xylopia sp1;Annonaceae;29,34
P3;56;Lunania parviflora;Salicaceae;14,13
P3;57;Virola sp2;Myristicaceae;39,88
P3;58;Guatteria tonduzii;Annonaceae;17,12
P3;59;Triplaris americana;Polygonaceae;16,9
P3;60;Guarea macrophylla;Meliaceae;38,77
P3;61;Gustavia superba;Lecythidaceae;27,62
P3;62;Urera caracasana;Urticaceae;10,54
P3;63;Chrysochlamys eclipes;Clusiaceae;14,34
P3;64;Lunania parviflora;Salicaceae;34,47
P3;65;Inga sapindoides;Fabaceae;17,22
P3;66;Bursera inversa;Burseraceae;60,6
P4;1;Schefflera morototoni;Araliaceae;30,34
P4;2;Cordia bicolor;Boraginaceae;16,44
P4;3;Pera arborea;Euphorbiaceae;13,08
P4;4;Amaioua corymbosa;Rubiaceae;12
P4;5;Oenocarpus bataua;Arecaceae;10,61
P4;6;Oenocarpus bataua;Arecaceae;11,15
P4;7;Schefflera morototoni;Araliaceae;31,83
P4;8;Myrcia splendens;Myrtaceae;10,73
P4;9;Guatteria sp6;Annonaceae;18,07
P4;10;Guatteria sp6;Annonaceae;15,11
P4;11;Erythroxylum citrifolium;Erythroxylaceae;10,89
P4;12;Tachia parviflora;Gentianaceae;11,62
P4;13;Guatteria sp6;Annonaceae;21,77
P4;14;Tapirira guianensis;Anacardiaceae;16,74
P4;15;Vochysia ferruginea;Vochysiaceae;21,75
P4;16;Guatteria sp6;Annonaceae;11,23
P4;17;Pourouma bicolor;Urticaceae;26,25
P4;18;Miconia elata;Melastomataceae;14,55
P4;19;Cordia bicolor;Boraginaceae;24,33
P4;20;Cordia bicolor;Boraginaceae;27,09
P4;21;Pourouma bicolor;Urticaceae;37,59
P4;22;Lindackeria laurina;Achariaceae;12,29
P4;23;Oenocarpus bataua;Arecaceae;20,56
P4;24;Miconia trinervia;Melastomataceae;11,63
P4;25;Tetragastris panamensis;Burseraceae;11,56
P4;26;Cordia bicolor;Boraginaceae;12,43
P4;27;Cordia bicolor;Boraginaceae;25,43
P4;28;Oenocarpus minor;Arecaceae;11,5
P4;29;Miconia trinervia;Melastomataceae;15,51
P4;30;;;22,66
P4;31;Oenocarpus bataua;Arecaceae;19,49
P4;32;Oenocarpus minor;Arecaceae;10,87
P4;33;Oenocarpus minor;Arecaceae;11,3
P4;34;Jacaranda copaia;Bignoniaceae;23,09
P4;35;Schefflera morototoni;Araliaceae;15,82
P4;36;Inga thibaudiana;Fabaceae;16,19
P4;37;Cordia bicolor;Boraginaceae;19,67
P4;38;Vochysia ferruginea;Vochysiaceae;20,86
P4;39;Erythroxylum citrifolium;Erythroxylaceae;10,5
P4;40;Matayba arborescens;Sapindaceae;9,27
P4;41;Matayba arborescens;Sapindaceae;28,22
P4;42;Guatteria sp6;Annonaceae;20,02
P4;43;Cordia bicolor;Boraginaceae;23,3
P4;44;Oenocarpus minor;Arecaceae;11,78
P4;45;Pourouma bicolor;Urticaceae;12,27
P4;46;Virola sebifera;Myristicaceae;17,76
P4;47;Guatteria sp6;Annonaceae;9,88
P4;48;Pourouma bicolor;Urticaceae;14,95
P4;49;Pourouma bicolor;Urticaceae;22,15
P4;50;Pourouma bicolor;Urticaceae;11,32
P4;51;Virola sebifera;Myristicaceae;12,1
P4;52;Vochysia ferruginea;Vochysiaceae;17,46
P4;53;Pourouma bicolor;Urticaceae;12,99
P4;54;Guatteria sp6;Annonaceae;15,41
P4;55;Oenocarpus bataua;Arecaceae;22,35
P4;56;Cordia bicolor;Boraginaceae;18,28
P4;57;Pourouma bicolor;Urticaceae;12,11
P4;58;Pseudolmedia laevigata;Moraceae;17,06
P4;59;Euterpe precatoria;Arecaceae;9,37
P4;60;Pseudolmedia laevigata;Moraceae;21,04
P4;61;Pera arborea;Euphorbiaceae;32,4
P4;62;Ouratea rubricyanea;Ochnaceae;12,67
P4;63;Pera arborea;Euphorbiaceae;24,48
P4;64;Pera arborea;Euphorbiaceae;20,6
P4;65;Guatteria sp6;Annonaceae;10,6
P4;66;Oenocarpus bataua;Arecaceae;18,45
P4;67;Pseudolmedia laevigata;Moraceae;12,06
P4;68;Alchornea costaricensis;Euphorbiaceae;25,42
P4;69;Matayba arborescens;Sapindaceae;12,06
P4;70;Guatteria sp6;Annonaceae;15,34
P4;71;Oenocarpus bataua;Arecaceae;19,45
P4;72;Pseudolmedia laevigata;Moraceae;18,24
P4;73;Byrsonima spicata;Malpighiaceae;48,54
P4;74;Guatteria sp6;Annonaceae;15,76
P4;75;Pseudolmedia laevigata;Moraceae;9,37
P4;76;Trattinnickia lawrancei;Burseraceae;23,17
P4;77;Pourouma bicolor;Urticaceae;19,05
P4;78;Pourouma bicolor;Urticaceae;15,13
P4;79;Miconia trinervia;Melastomataceae;21,37
P4;80;Jacaranda copaia;Bignoniaceae;30,99
P4;81;Oenocarpus bataua;Arecaceae;19,74
P4;82;Jacaranda copaia;Bignoniaceae;18,04
P4;83;Cordia bicolor;Boraginaceae;34,95
P4;84;Oenocarpus bataua;Arecaceae;19,34
P4;85;Virola sebifera;Myristicaceae;25,74
P4;86;Pseudolmedia laevigata;Moraceae;13,74
P4;87;Cordia bicolor;Boraginaceae;42,62
P4;88;Matayba arborescens;Sapindaceae;14,28
P4;89;Oenocarpus bataua;Arecaceae;17,57
P4;90;Pourouma bicolor;Urticaceae;30,18
P4;91;Pseudolmedia laevigata;Moraceae;18,32
P4;92;Oenocarpus bataua;Arecaceae;20,73
P4;93;Oenocarpus bataua;Arecaceae;20,52
P4;94;Oenocarpus bataua;Arecaceae;19,89
P4;95;Eriotheca globosa;Malvaceae;14,44
P4;96;Myrsine pellucidopunctata;Primulaceae;17,23
P4;97;Helicostylis tomentosa;Moraceae;13,34
P4;98;Helicostylis tomentosa;Moraceae;12,67
P4;99;Virola sebifera;Myristicaceae;19,29
P4;100;Myrcia paivae;Myrtaceae;16,05
P4;101;Matayba arborescens;Sapindaceae;12,9
P4;102;Myrsine pellucidopunctata;Primulaceae;20,94
P4;103;Oenocarpus bataua;Arecaceae;15,92
P4;104;Oenocarpus bataua;Arecaceae;15,47
P4;105;Pourouma bicolor;Urticaceae;21,82
P4;106;Pseudolmedia laevigata;Moraceae;10,04
P4;107;Myrsine pellucidopunctata;Primulaceae;17,65
P4;108;Matayba arborescens;Sapindaceae;14,8
P4;109;Cordia bicolor;Boraginaceae;21,28
P4;110;;;13,85
P4;111;Ocotea guianensis;Lauraceae;13,09
P4;112;Miconia elata;Melastomataceae;11,71
P4;113;Schefflera morototoni;Araliaceae;19,23
P4;114;Cordia bicolor;Boraginaceae;19,16
P4;115;Guatteria sp6;Annonaceae;11,85
P4;116;Pera arborea;Euphorbiaceae;19,67
P4;117;Pera arborea;Euphorbiaceae;12,74
P4;118;Oenocarpus bataua;Arecaceae;20,56
P4;119;Oenocarpus bataua;Arecaceae;19,27
P4;120;Oenocarpus bataua;Arecaceae;15,76
P4;121;Stryphnodendron microstachyum;Fabaceae;16,41
P4;122;Myrsine pellucidopunctata;Primulaceae;19,99
P4;123;Myrcia paivae;Myrtaceae;17,07
P4;124;Clethra sp;Clethraceae;37,31
P4;125;Matayba arborescens;Sapindaceae;12,32
P4;126;;;13,05
P4;127;Cordia bicolor;Boraginaceae;21,35
P4;128;Guatteria sp6;Annonaceae;21,71
P4;129;Oenocarpus bataua;Arecaceae;19,73
P4;130;Miconia trinervia;Melastomataceae;11,59
P4;131;Roupala montana;Proteaceae;13,99
P4;132;Abarema jupunba;Fabaceae;15,88
P4;133;Matayba arborescens;Sapindaceae;22,05
P4;134;Miconia trinervia;Melastomataceae;11,01
P4;135;Pera arborea;Euphorbiaceae;16,71
P4;136;Virola sebifera;Myristicaceae;17,43
P4;137;Enterolobium contortisiliquum;Fabaceae;45,29
P4;138;Helicostylis tomentosa;Moraceae;16,33
P4;139;Helicostylis tomentosa;Moraceae;10,21
P4;140;Matayba arborescens;Sapindaceae;13,91
P4;141;Clethra sp;Clethraceae;32,64
P4;142;Oenocarpus bataua;Arecaceae;15,59
P4;143;Jacaranda copaia;Bignoniaceae;24,74
P4;144;Pseudolmedia laevigata;Moraceae;10,63
P4;145;Matayba arborescens;Sapindaceae;10,54
P4;146;Simarouba amara;Simaroubaceae;33,45
P4;147;Miconia trinervia;Melastomataceae;25,47
P4;148;Oenocarpus bataua;Arecaceae;17,96
P4;149;Cordia bicolor;Boraginaceae;12,35
P4;150;Cordia bicolor;Boraginaceae;10,9
P4;151;Trattinnickia lawrancei;Burseraceae;11,27
P4;152;Matayba arborescens;Sapindaceae;13,2
P4;153;Cordia bicolor;Boraginaceae;13,59
P4;154;Oenocarpus bataua;Arecaceae;15,92
P4;155;Myrsine pellucidopunctata;Primulaceae;18,85
P4;156;Oenocarpus bataua;Arecaceae;18,59
P4;157;Myrsine pellucidopunctata;Primulaceae;28,02
P4;158;Miconia elata;Melastomataceae;15,63
P4;159;Jacaranda copaia;Bignoniaceae;25,94
P4;160;Oenocarpus bataua;Arecaceae;14,48
P4;161;Pourouma bicolor;Urticaceae;31,19
P4;162;Miconia elata;Melastomataceae;15,02
P4;163;Miconia elata;Melastomataceae;16,1
