Placa;DAP (cm);Altura (m);Habito;Codigos observaciones
208;16,23;5,5;Arbol;
209;10,38;12,9;Arbol;Q, L
210;14,77;13;Arbol;
211;10,73;10,15;Arbol;
212;28,71;16;Arbol;
213;24,76;15;Arbol;
214;13,81;11,5;Arbol;
215;20,69;16,3;Arbol;
216;14,99;12,7;Arbol;
217;24,76;19,5;Arbol;
218;27,92;22,5;Arbol;
219;17,38;8,27;Palma;
220;15,76;14;Palma;
221;14,32;10,9;Arbol;
222;16,65;14,6;Arbol;
223;35,01;18;Arbol;
224;19,8;15,2;Arbol;
225;10,98;10,4;Arbol;
226;15,37;11;Arbol;
227;60;24;Arbol;
228;11,01;11;Arbol;
229;18,68;11;Arbol;
230;24,89;18,2;Arbol;
231;22,12;11,5;Arbol;
232;14,45;8,9;Arbol;L
233;11,62;14,3;Arbol;
234;13,53;13;Arbol;
235;128,55;41;Arbol;
236;17,44;13,2;Arbol;
237;14,99;14,6;Arbol;
238;31,39;17,6;Arbol;
239;27,44;18,5;Arbol;
240;35,27;30;Arbol;
241;11,27;5,5;Arbol;
242;23,24;12,5;Arbol;L
243;12,99;11,5;Arbol;
244;13,75;13,2;Arbol;
245;36,76;18,5;Arbol;
246;40,52;32,5;Arbol;
247;90,7;35,4;Arbol;
248;11,52;6;Arbol;L
249;22,66;11,3;Arbol;
250;53,29;39,5;Arbol;
251;14,87;13;Arbol;
252;11,59;10;Arbol;
253;19,99;12,7;Palma;
254;17,51;12,5;Palma;
255;15,22;12;Arbol;
256;19,54;13;Arbol;
257;19,16;18;Arbol;
258;16,87;12,4;Palma;
259;33,3;17;Arbol;
260;23,71;19,2;Arbol;
261;11,52;11;Arbol;
262;15,69;12;Arbol;
263;12,67;13,5;Arbol;
264;18,97;18;Arbol;
265;10,19;6,5;Arbol;L
266;37,69;11;Arbol;
267;13,5;8;Arbol;
268;17,95;12,7;Arbol;
269;15,12;7;Arbol;
270;14,01;18,4;Arbol;
271;20,47;13,3;Arbol;
272;13,18;12,6;Arbol;
273;25,15;16,5;Arbol;
274;16,39;12,7;Arbol;
275;13,21;5;Arbol;
276;10,25;6;Arbol;
277;25,31;10;Arbol;
278;20,15;12,3;Palma;
279;14,39;12,2;Arbol;
280;12,32;15;Arbol;
281;21,39;19;Arbol;
282;24,32;15,5;Arbol;
283;20,34;8;Arbol;L
284;16,84;11;Palma;
285;15,72;10,2;Palma;
286;15,69;10;Arbol;L
287;19,13;9;Palma;
288;17,92;11;Arbol;
289;19,51;13;Palma;
290;27,28;21;Arbol;
291;13,53;12;Arbol;
292;20,75;11,6;Arbol;Q
293;22,44;10,5;Palma;
294;11,55;8;Arbol;
295;17,83;10,4;Palma;
296;14,01;12,6;Arbol;
297;12,67;6,5;Arbol;
298;119,41;39,3;Arbol;
299;10,63;12;Arbol;
300;16,87;12,6;Arbol;L
301;11,62;9;Arbol;
302;10,82;6,5;Arbol;L
303;17,19;12;Arbol;I
304;10,31;6;Arbol;
305;16,07;11,4;Arbol;
306;15,92;11,8;Palma;
307;12,32;10;Arbol;
308;49,34;33,9;Arbol;
309;25,31;32;Arbol;
310;62,99;32,5;Arbol;
311;12,19;12;Arbol;
312;17,54;11;Palma;
313;12,29;14,6;Arbol;
314;11,46;7;Arbol;
315;18,56;11;Palma;
316;25,46;16;Arbol;
317;10,41;6;Arbol;L
318;13,11;16;Arbol;
319;38,99;28,5;Arbol;
320;13,81;10,5;Arbol;
321;24,8;12;Arbol;
322;14,87;13;Arbol;L,Q
323;11,62;14;Arbol;
